population_size,crossover_probability,mutation_probability,number_of_generations,number_of_experiments,fitness,num_vehicles,total_distance
8,0.1,0.0033333333333333335,5,1,1001.26687,10,1266.8700000000001
8,0.1,0.0033333333333333335,5,2,1001.27781,10,1277.81
8,0.1,0.0033333333333333335,25,1,1001.31041,10,1310.4099999999999
8,0.1,0.0033333333333333335,25,2,1001.25813,10,1258.13
8,0.1,0.0033333333333333335,300,1,1101.38726,11,1387.26
8,0.1,0.0033333333333333335,300,2,901.31058,9,1310.58
8,0.1,0.7,5,1,1101.40601,11,1406.01
8,0.1,0.7,5,2,1001.29755,10,1297.55
8,0.1,0.7,25,1,901.14581,9,1145.81
8,0.1,0.7,25,2,901.43839,9,1438.3899999999999
8,0.1,0.7,300,1,1001.255,10,1254.9999999999998
8,0.1,0.7,300,2,1001.14629,10,1146.29
8,0.7,0.0033333333333333335,5,1,1001.37312,10,1373.1199999999997
8,0.7,0.0033333333333333335,5,2,1001.25659,10,1256.5900000000001
8,0.7,0.0033333333333333335,25,1,1101.16392,11,1163.9199999999998
8,0.7,0.0033333333333333335,25,2,1001.17657,10,1176.5700000000002
8,0.7,0.0033333333333333335,300,1,901.16297,9,1162.9699999999998
8,0.7,0.0033333333333333335,300,2,1001.15397,10,1153.9699999999998
8,0.7,0.7,5,1,1101.41484,11,1414.84
8,0.7,0.7,5,2,1001.26095,10,1260.9499999999998
8,0.7,0.7,25,1,1001.2451,10,1245.1
8,0.7,0.7,25,2,1001.28196,10,1281.9599999999998
8,0.7,0.7,300,1,1001.024,10,1023.9999999999998
8,0.7,0.7,300,2,1000.94483,10,944.8300000000002
8,0.9,0.0033333333333333335,5,1,901.42768,9,1427.68
8,0.9,0.0033333333333333335,5,2,901.13154,9,1131.54
8,0.9,0.0033333333333333335,25,1,1101.16387,11,1163.87
8,0.9,0.0033333333333333335,25,2,1001.15181,10,1151.81
8,0.9,0.0033333333333333335,300,1,1001.24426,10,1244.26
8,0.9,0.0033333333333333335,300,2,1001.03277,10,1032.77
8,0.9,0.7,5,1,1201.3106,12,1310.6
8,0.9,0.7,5,2,1001.31954,10,1319.5400000000002
8,0.9,0.7,25,1,901.11137,9,1111.37
8,0.9,0.7,25,2,1001.25181,10,1251.81
8,0.9,0.7,300,1,1000.9581,10,958.1
8,0.9,0.7,300,2,1001.00583,10,1005.8299999999998
24,0.1,0.0033333333333333335,5,1,901.16038,9,1160.38
24,0.1,0.0033333333333333335,5,2,1001.26533,10,1265.3300000000002
24,0.1,0.0033333333333333335,25,1,1001.1445,10,1144.5
24,0.1,0.0033333333333333335,25,2,1001.2718,10,1271.8
24,0.1,0.0033333333333333335,300,1,1001.37719,10,1377.1899999999998
24,0.1,0.0033333333333333335,300,2,1001.14383,10,1143.83
24,0.1,0.7,5,1,1001.52319,10,1523.1899999999998
24,0.1,0.7,5,2,1001.29169,10,1291.69
24,0.1,0.7,25,1,1001.50702,10,1507.0200000000002
24,0.1,0.7,25,2,901.40067,9,1400.67
24,0.1,0.7,300,1,901.14758,9,1147.58
24,0.1,0.7,300,2,901.4341,9,1434.1
24,0.7,0.0033333333333333335,5,1,1001.38605,10,1386.05
24,0.7,0.0033333333333333335,5,2,901.0211,9,1021.0999999999999
24,0.7,0.0033333333333333335,25,1,1001.16269,10,1162.69
24,0.7,0.0033333333333333335,25,2,1001.1568,10,1156.8000000000002
24,0.7,0.0033333333333333335,300,1,1000.98286,10,982.8599999999999
24,0.7,0.0033333333333333335,300,2,901.16927,9,1169.27
24,0.7,0.7,5,1,1001.15999,10,1159.99
24,0.7,0.7,5,2,901.15515,9,1155.15
24,0.7,0.7,25,1,901.15865,9,1158.65
24,0.7,0.7,25,2,901.11918,9,1119.18
24,0.7,0.7,300,1,900.85906,9,859.0599999999998
24,0.7,0.7,300,2,900.88709,9,887.0899999999999
24,0.9,0.0033333333333333335,5,1,1001.04904,10,1049.04
24,0.9,0.0033333333333333335,5,2,1001.26726,10,1267.26
24,0.9,0.0033333333333333335,25,1,900.8969,9,896.9
24,0.9,0.0033333333333333335,25,2,1001.14287,10,1142.87
24,0.9,0.0033333333333333335,300,1,901.00277,9,1002.77
24,0.9,0.0033333333333333335,300,2,900.97786,9,977.86
24,0.9,0.7,5,1,901.44754,9,1447.54
24,0.9,0.7,5,2,901.19427,9,1194.27
24,0.9,0.7,25,1,900.98573,9,985.73
24,0.9,0.7,25,2,901.02921,9,1029.21
24,0.9,0.7,300,1,900.93172,9,931.7199999999999
24,0.9,0.7,300,2,900.87904,9,879.0400000000001
300,0.1,0.0033333333333333335,5,1,901.15513,9,1155.13
300,0.1,0.0033333333333333335,5,2,901.03283,9,1032.83
300,0.1,0.0033333333333333335,25,1,1001.24157,10,1241.57
300,0.1,0.0033333333333333335,25,2,901.11577,9,1115.77
300,0.1,0.0033333333333333335,300,1,1001.11995,10,1119.9499999999998
300,0.1,0.0033333333333333335,300,2,900.99522,9,995.22
300,0.1,0.7,5,1,1001.16633,10,1166.33
300,0.1,0.7,5,2,901.15625,9,1156.25
300,0.1,0.7,25,1,1001.13621,10,1136.21
300,0.1,0.7,25,2,901.13949,9,1139.4899999999998
300,0.1,0.7,300,1,901.02563,9,1025.63
300,0.1,0.7,300,2,901.01947,9,1019.4699999999999
300,0.7,0.0033333333333333335,5,1,901.14771,9,1147.71
300,0.7,0.0033333333333333335,5,2,901.14214,9,1142.1399999999999
300,0.7,0.0033333333333333335,25,1,901.00531,9,1005.31
300,0.7,0.0033333333333333335,25,2,901.00697,9,1006.9700000000001
300,0.7,0.0033333333333333335,300,1,900.9831,9,983.0999999999999
300,0.7,0.0033333333333333335,300,2,900.86862,9,868.62
300,0.7,0.7,5,1,901.03253,9,1032.53
300,0.7,0.7,5,2,901.40282,9,1402.8200000000002
300,0.7,0.7,25,1,900.98916,9,989.16
300,0.7,0.7,25,2,900.88416,9,884.1600000000001
300,0.7,0.7,300,1,900.85314,9,853.14
300,0.7,0.7,300,2,900.99104,9,991.04
300,0.9,0.0033333333333333335,5,1,901.16752,9,1167.52
